File: diagnostic
Build ID: c5c547761b7abed7a06d8d64f49e8485c1ad07cd
Type: cpu
Time: 2026-09-16 21:25:21 UTC
Duration: 4.17s, Total samples = 5.51s (132.02%)
Showing nodes accounting for 3.88s, 70.42% of 5.51s total
Dropped 466 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0% 70.42%      4.37s 79.31%  github.com/graydeon/mousa/internal/sqlite.Open (inline)
         0     0% 70.42%      0.23s  4.17%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.0dcd03afbde88ccecc209e5531ea1ad4736511c0737b39f41f5b23eeb333a528]
         0     0% 70.42%      0.08s  1.45%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.26d71ac27b713a37a9e53eacc7bfd28233f5cabc6f1b949914d56ebf7bd6df9b]
         0     0% 70.42%      0.15s  2.72%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.306a23f933d01715a5149d224e0aadf87151f63a1f21c3817e81e45011b6c367]
         0     0% 70.42%      0.08s  1.45%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.ArtifactID "json:\"id\""; ObservationID github.com/graydeon/mousa/internal/mousa.ObservationID "json:\"observation_id\""; ArtifactKey string "json:\"artifact_key\""; MediaType string "json:\"media_type\""; ContentSHA256 github.com/graydeon/mousa/internal/mousa.SHA256 "json:\"content_sha256\""; ByteLength uint64 "json:\"byte_length\"" }]
         0     0% 70.42%      0.15s  2.72%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.ObservationID "json:\"id\""; SourceID github.com/graydeon/mousa/internal/mousa.SourceID "json:\"source_id\""; ExternalObservationID string "json:\"external_observation_id\"" }]
         0     0% 70.42%      0.60s 10.89%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.SegmentID "json:\"id\""; RepresentationID github.com/graydeon/mousa/internal/mousa.RepresentationID "json:\"representation_id\""; Selector github.com/graydeon/mousa/internal/mousa.SegmentSelector "json:\"selector\""; ContentSHA256 github.com/graydeon/mousa/internal/mousa.SHA256 "json:\"content_sha256\"" }]
         0     0% 70.42%      0.06s  1.09%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.SourceID "json:\"id\""; Namespace string "json:\"namespace\""; ExternalSourceID string "json:\"external_source_id\"" }]
         0     0% 70.42%      0.30s  5.44%  github.com/graydeon/mousa/internal/sqlite.getArtifact
         0     0% 70.42%      0.30s  5.44%  github.com/graydeon/mousa/internal/sqlite.getObservation
         0     0% 70.42%      0.03s  0.54%  github.com/graydeon/mousa/internal/sqlite.getPolicyBinding
         0     0% 70.42%      0.20s  3.63%  github.com/graydeon/mousa/internal/sqlite.getPolicyDecision
         0     0% 70.42%      0.03s  0.54%  github.com/graydeon/mousa/internal/sqlite.getPolicyDefinition
         0     0% 70.42%      0.88s 15.97%  github.com/graydeon/mousa/internal/sqlite.getRepresentation
         0     0% 70.42%      1.30s 23.59%  github.com/graydeon/mousa/internal/sqlite.getSegment
         0     0% 70.42%      0.20s  3.63%  github.com/graydeon/mousa/internal/sqlite.getSource
         0     0% 70.42%      3.13s 56.81%  github.com/graydeon/mousa/internal/sqlite.getSourceTrail
         0     0% 70.42%      1.75s 31.76%  github.com/graydeon/mousa/internal/sqlite.lexicalEvidencePaths
         0     0% 70.42%      1.75s 31.76%  github.com/graydeon/mousa/internal/sqlite.lexicalRepresentationPaths
         0     0% 70.42%      2.20s 39.93%  github.com/graydeon/mousa/internal/sqlite.migrate
         0     0% 70.42%      4.37s 79.31%  github.com/graydeon/mousa/internal/sqlite.open
         0     0% 70.42%      2.17s 39.38%  github.com/graydeon/mousa/internal/sqlite.preflightWritable
         0     0% 70.42%      0.14s  2.54%  github.com/graydeon/mousa/internal/sqlite.projectedInputs
         0     0% 70.42%      0.09s  1.63%  github.com/graydeon/mousa/internal/sqlite.readPolicyInputParents
         0     0% 70.42%      0.36s  6.53%  github.com/graydeon/mousa/internal/sqlite.verifyInputProjection
         0     0% 70.42%      0.24s  4.36%  github.com/graydeon/mousa/internal/sqlite.verifyPolicyDecisionRecords
         0     0% 70.42%         4s 72.60%  github.com/graydeon/mousa/internal/sqlite.verifySourceTrailRecords
         0     0% 70.42%      4.35s 78.95%  github.com/graydeon/mousa/internal/sqlite.verifyVersion
         0     0% 70.42%      0.03s  0.54%  golang.org/x/sys/unix.MunmapPtr (inline)
         0     0% 70.42%      0.03s  0.54%  golang.org/x/sys/unix.munmap
         0     0% 70.42%      4.42s 80.22%  main.main
         0     0% 70.42%      4.42s 80.22%  main.queryCommand
         0     0% 70.42%      0.05s  0.91%  main.queryItems
         0     0% 70.42%      4.42s 80.22%  main.runQuery
         0     0% 70.42%      0.03s  0.54%  modernc.org/libc.GoString (inline)
         0     0% 70.42%      0.03s  0.54%  modernc.org/libc.Xfree
         0     0% 70.42%      0.03s  0.54%  modernc.org/libc.Xmalloc
         0     0% 70.42%      0.10s  1.81%  modernc.org/libc.Xpread
         0     0% 70.42%      0.10s  1.81%  modernc.org/libc.___syscall_cp
         0     0% 70.42%      0.03s  0.54%  modernc.org/memory.(*Allocator).UintptrMalloc
         0     0% 70.42%      0.03s  0.54%  modernc.org/memory.(*Allocator).mmap
         0     0% 70.42%      0.03s  0.54%  modernc.org/memory.(*Allocator).newSharedPage
         0     0% 70.42%      0.03s  0.54%  modernc.org/memory.mmap
         0     0% 70.42%      0.03s  0.54%  modernc.org/memory.unmap (inline)
         0     0% 70.42%      2.18s 39.56%  modernc.org/sqlite.(*conn).QueryContext
         0     0% 70.42%      0.06s  1.09%  modernc.org/sqlite.(*conn).columnBlob
         0     0% 70.42%      0.05s  0.91%  modernc.org/sqlite.(*conn).columnName
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite.(*conn).columnText
         0     0% 70.42%      0.15s  2.72%  modernc.org/sqlite.(*conn).finalize
         0     0% 70.42%      1.46s 26.50%  modernc.org/sqlite.(*conn).prepareV2
         0     0% 70.42%      0.53s  9.62%  modernc.org/sqlite.(*conn).step
         0     0% 70.42%      0.14s  2.54%  modernc.org/sqlite.(*rows).Close
         0     0% 70.42%      0.69s 12.52%  modernc.org/sqlite.(*stmt).query
         0     0% 70.42%      0.15s  2.72%  modernc.org/sqlite/lib.Xsqlite3_finalize
         0     0% 70.42%      1.46s 26.50%  modernc.org/sqlite/lib.Xsqlite3_prepare_v2 (inline)
         0     0% 70.42%      0.53s  9.62%  modernc.org/sqlite/lib.Xsqlite3_step
         0     0% 70.42%      0.08s  1.45%  modernc.org/sqlite/lib._accessPayload
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._btreeParseCell
         0     0% 70.42%      0.06s  1.09%  modernc.org/sqlite/lib._closeAllCursors
         0     0% 70.42%      0.04s  0.73%  modernc.org/sqlite/lib._closeCursorsInFrame
         0     0% 70.42%      0.05s  0.91%  modernc.org/sqlite/lib._codeAllEqualityTerms
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._columnName
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._findElementWithHash
         0     0% 70.42%      0.08s  1.45%  modernc.org/sqlite/lib._fts5FilterMethod
         0     0% 70.42%      0.08s  1.45%  modernc.org/sqlite/lib._fts5NextMethod
         0     0% 70.42%      0.05s  0.91%  modernc.org/sqlite/lib._generateColumnTypes
         0     0% 70.42%      0.07s  1.27%  modernc.org/sqlite/lib._getAndInitPage
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._getCellInfo
         0     0% 70.42%      0.10s  1.81%  modernc.org/sqlite/lib._getPageNormal
         0     0% 70.42%      0.05s  0.91%  modernc.org/sqlite/lib._innerLoopLoadRow (inline)
