File: diagnostic
Build ID: abd29e9db092f2100ef189cb53825be3ba977096
Type: cpu
Time: 2026-09-16 07:18:10 UTC
Duration: 4.15s, Total samples = 4.46s (107.46%)
Showing nodes accounting for 2.97s, 66.59% of 4.46s total
Dropped 363 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
         0     0% 66.59%      0.04s   0.9%  modernc.org/sqlite/lib._generateColumnTypes
         0     0% 66.59%      0.33s  7.40%  modernc.org/sqlite/lib._lockBtree
         0     0% 66.59%      0.14s  3.14%  modernc.org/sqlite/lib._pagerUnlockAndRollback
         0     0% 66.59%      0.14s  3.14%  modernc.org/sqlite/lib._pagerUnlockIfUnused (inline)
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib._pcache1Fetch
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib._pcache1FetchWithMutex
         0     0% 66.59%      0.04s   0.9%  modernc.org/sqlite/lib._pthreadMutexEnter
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib._pthreadMutexLeave
         0     0% 66.59%      0.15s  3.36%  modernc.org/sqlite/lib._releasePageOne (inline)
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3BinaryCompareCollSeq
         0     0% 66.59%      0.36s  8.07%  modernc.org/sqlite/lib._sqlite3BtreeBeginTrans
         0     0% 66.59%      0.15s  3.36%  modernc.org/sqlite/lib._sqlite3BtreeCommitPhaseTwo
         0     0% 66.59%      0.07s  1.57%  modernc.org/sqlite/lib._sqlite3ExprCodeTarget
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3ExprCompareCollSeq
         0     0% 66.59%      0.12s  2.69%  modernc.org/sqlite/lib._sqlite3GenerateColumnNames
         0     0% 66.59%      0.06s  1.35%  modernc.org/sqlite/lib._sqlite3LocateTableItem
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3Malloc
         0     0% 66.59%      0.07s  1.57%  modernc.org/sqlite/lib._sqlite3OsFileSize (inline)
         0     0% 66.59%      0.26s  5.83%  modernc.org/sqlite/lib._sqlite3OsShmLock (inline)
         0     0% 66.59%      0.04s   0.9%  modernc.org/sqlite/lib._sqlite3PagerGet (inline)
         0     0% 66.59%      0.32s  7.17%  modernc.org/sqlite/lib._sqlite3PagerSharedLock
         0     0% 66.59%      0.15s  3.36%  modernc.org/sqlite/lib._sqlite3PagerUnrefPageOne
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3PcacheFetch
         0     0% 66.59%      1.30s 29.15%  modernc.org/sqlite/lib._sqlite3Prepare
         0     0% 66.59%      0.07s  1.57%  modernc.org/sqlite/lib._sqlite3ResolveSelectNames
         0     0% 66.59%      0.70s 15.70%  modernc.org/sqlite/lib._sqlite3Step
